prompt,classname,classidx
a1 fractal.,a1,0
a2 fractal.,a2,1
a3 fractal.,a3,2
a4 fractal.,a4,3
ammonite fractal.,ammonite,4
bamboofern fractal.,bamboofern,5
bedder fractal.,bedder,6
binary fractal.,binary,7
branch fractal.,branch,8
broccoli fractal.,broccoli,9
bud fractal.,bud,10
c curve fractal.,c_curve,11
castle fractal.,castle,12
cedarleaf fractal.,cedarleaf,13
coral fractal.,coral,14
crystal fractal.,crystal,15
deerfern fractal.,deerfern,16
dragon curve fractal.,dragon_curve,17
drumlin fractal.,drumlin,18
fern fractal.,fern,19
filmyfern fractal.,filmyfern,20
fleabane fractal.,fleabane,21
flower fractal.,flower,22
gaku fractal.,gaku,23
ginkgo fractal.,ginkgo,24
gold dragon fractal.,gold_dragon,25
grassfern fractal.,grassfern,26
greygoldenrod fractal.,greygoldenrod,27
groundpine fractal.,groundpine,28
involucre fractal.,involucre,29
koch curve fractal.,koch_curve,30
koch snowflake fractal.,koch_snowflake,31
maple leaf fractal.,maple_leaf,32
mcWorter pedigree fractal.,mcWorter_pedigree,33
morningglory fractal.,morningglory,34
newyorkfern fractal.,newyorkfern,35
octopuslegs fractal.,octopuslegs,36
penta fractal.,penta,37
pinetree fractal.,pinetree,38
rose fractal.,rose,39
shieldfern fractal.,shieldfern,40
sierpinski carpet fractal.,sierpinski_carpet,41
sierpinski gasket fractal.,sierpinski_gasket,42
sierpinski pentagon fractal.,sierpinski_pentagon,43
snail fractal.,snail,44
snowcap fractal.,snowcap,45
snowdrift fractal.,snowdrift,46
spiderbrake fractal.,spiderbrake,47
spiral fractal.,spiral,48
spleenwort fern fractal.,spleenwort_fern,49
star fractal.,star,50
sticks fractal.,sticks,51
sunflower fractal.,sunflower,52
supernova fractal.,supernova,53
swirl fractal.,swirl,54
tree fractal.,tree,55
turbanshell fractal.,turbanshell,56
umbrellafern fractal.,umbrellafern,57
watersprite fractal.,watersprite,58
zigzag fractal.,zigzag,59
