prompt,classname,classidx
"A photo of a Adristyrannus, a type of insect.",Adristyrannus,0
"A photo of a Aleurocanthus spiniferus, a type of insect.",Aleurocanthus spiniferus,1
"A photo of a Ampelophaga, a type of insect.",Ampelophaga,2
"A photo of a Aphis citricola Vander Goot, a type of insect.",Aphis citricola Vander Goot,3
"A photo of a Apolygus lucorum, a type of insect.",Apolygus lucorum,4
"A photo of a Bactrocera tsuneonis, a type of insect.",Bactrocera tsuneonis,5
"A photo of a Beet spot flies, a type of insect.",Beet spot flies,6
"A photo of a Brevipoalpus lewisi McGregor, a type of insect.",Brevipoalpus lewisi McGregor,7
"A photo of a Ceroplastes rubens, a type of insect.",Ceroplastes rubens,8
"A photo of a Chlumetia transversa, a type of insect.",Chlumetia transversa,9
"A photo of a Chrysomphalus aonidum, a type of insect.",Chrysomphalus aonidum,10
"A photo of a Cicadella viridis, a type of insect.",Cicadella viridis,11
"A photo of a Cicadellidae, a type of insect.",Cicadellidae,12
"A photo of a Colomerus vitis, a type of insect.",Colomerus vitis,13
"A photo of a Dacus dorsalis(Hendel), a type of insect.",Dacus dorsalis(Hendel),14
"A photo of a Dasineura sp, a type of insect.",Dasineura sp,15
"A photo of a Deporaus marginatus Pascoe, a type of insect.",Deporaus marginatus Pascoe,16
"A photo of a Erythroneura apicalis, a type of insect.",Erythroneura apicalis,17
"A photo of a Icerya purchasi Maskell, a type of insect.",Icerya purchasi Maskell,18
"A photo of a Lawana imitata Melichar, a type of insect.",Lawana imitata Melichar,19
"A photo of a Limacodidae, a type of insect.",Limacodidae,20
"A photo of a Locustoidea, a type of insect.",Locustoidea,21
"A photo of a Lycorma delicatula, a type of insect.",Lycorma delicatula,22
"A photo of a Mango flat beak leafhopper, a type of insect.",Mango flat beak leafhopper,23
"A photo of a Miridae, a type of insect.",Miridae,24
"A photo of a Nipaecoccus vastalor, a type of insect.",Nipaecoccus vastalor,25
"A photo of a Panonchus citri McGregor, a type of insect.",Panonchus citri McGregor,26
"A photo of a Papilio xuthus, a type of insect.",Papilio xuthus,27
"A photo of a Parlatoria zizyphus Lucus, a type of insect.",Parlatoria zizyphus Lucus,28
"A photo of a Phyllocnistis citrella Stainton, a type of insect.",Phyllocnistis citrella Stainton,29
"A photo of a Phyllocoptes oleiverus ashmead, a type of insect.",Phyllocoptes oleiverus ashmead,30
"A photo of a Pieris canidia, a type of insect.",Pieris canidia,31
"A photo of a Polyphagotars onemus latus, a type of insect.",Polyphagotars onemus latus,32
"A photo of a Potosiabre vitarsis, a type of insect.",Potosiabre vitarsis,33
"A photo of a Prodenia litura, a type of insect.",Prodenia litura,34
"A photo of a Pseudococcus comstocki Kuwana, a type of insect.",Pseudococcus comstocki Kuwana,35
"A photo of a Rhytidodera bowrinii white, a type of insect.",Rhytidodera bowrinii white,36
"A photo of a Rice Stemfly, a type of insect.",Rice Stemfly,37
"A photo of a Salurnis marginella Guerr, a type of insect.",Salurnis marginella Guerr,38
"A photo of a Scirtothrips dorsalis Hood, a type of insect.",Scirtothrips dorsalis Hood,39
"A photo of a Sternochetus frigidus, a type of insect.",Sternochetus frigidus,40
"A photo of a Tetradacus c Bactrocera minax, a type of insect.",Tetradacus c Bactrocera minax,41
"A photo of a Thrips, a type of insect.",Thrips,42
"A photo of a Toxoptera aurantii, a type of insect.",Toxoptera aurantii,43
"A photo of a Toxoptera citricidus, a type of insect.",Toxoptera citricidus,44
"A photo of a Trialeurodes vaporariorum, a type of insect.",Trialeurodes vaporariorum,45
"A photo of a Unaspis yanonensis, a type of insect.",Unaspis yanonensis,46
"A photo of a Viteus vitifoliae, a type of insect.",Viteus vitifoliae,47
"A photo of a Xylotrechus, a type of insect.",Xylotrechus,48
"A photo of a alfalfa plant bug, a type of insect.",alfalfa plant bug,49
"A photo of a alfalfa seed chalcid, a type of insect.",alfalfa seed chalcid,50
"A photo of a alfalfa weevil, a type of insect.",alfalfa weevil,51
"A photo of a aphids, a type of insect.",aphids,52
"A photo of a army worm, a type of insect.",army worm,53
"A photo of a asiatic rice borer, a type of insect.",asiatic rice borer,54
"A photo of a beet army worm, a type of insect.",beet army worm,55
"A photo of a beet fly, a type of insect.",beet fly,56
"A photo of a beet weevil, a type of insect.",beet weevil,57
"A photo of a bird cherry-oataphid, a type of insect.",bird cherry-oataphid,58
"A photo of a black cutworm, a type of insect.",black cutworm,59
"A photo of a blister beetle, a type of insect.",blister beetle,60
"A photo of a brown plant hopper, a type of insect.",brown plant hopper,61
"A photo of a cabbage army worm, a type of insect.",cabbage army worm,62
"A photo of a cerodonta denticornis, a type of insect.",cerodonta denticornis,63
"A photo of a corn borer, a type of insect.",corn borer,64
"A photo of a english grain aphid, a type of insect.",english grain aphid,65
"A photo of a flax budworm, a type of insect.",flax budworm,66
"A photo of a flea beetle, a type of insect.",flea beetle,67
"A photo of a grain spreader thrips, a type of insect.",grain spreader thrips,68
"A photo of a green bug, a type of insect.",green bug,69
"A photo of a grub, a type of insect.",grub,70
"A photo of a large cutworm, a type of insect.",large cutworm,71
"A photo of a legume blister beetle, a type of insect.",legume blister beetle,72
"A photo of a longlegged spider mite, a type of insect.",longlegged spider mite,73
"A photo of a lytta polita, a type of insect.",lytta polita,74
"A photo of a meadow moth, a type of insect.",meadow moth,75
"A photo of a mole cricket, a type of insect.",mole cricket,76
"A photo of a odontothrips loti, a type of insect.",odontothrips loti,77
"A photo of a oides decempunctata, a type of insect.",oides decempunctata,78
"A photo of a paddy stem maggot, a type of insect.",paddy stem maggot,79
"A photo of a parathrene regalis, a type of insect.",parathrene regalis,80
"A photo of a peach borer, a type of insect.",peach borer,81
"A photo of a penthaleus major, a type of insect.",penthaleus major,82
"A photo of a red spider, a type of insect.",red spider,83
"A photo of a rice gall midge, a type of insect.",rice gall midge,84
"A photo of a rice leaf caterpillar, a type of insect.",rice leaf caterpillar,85
"A photo of a rice leaf roller, a type of insect.",rice leaf roller,86
"A photo of a rice leafhopper, a type of insect.",rice leafhopper,87
"A photo of a rice shell pest, a type of insect.",rice shell pest,88
"A photo of a rice water weevil, a type of insect.",rice water weevil,89
"A photo of a sericaorient alismots chulsky, a type of insect.",sericaorient alismots chulsky,90
"A photo of a small brown plant hopper, a type of insect.",small brown plant hopper,91
"A photo of a tarnished plant bug, a type of insect.",tarnished plant bug,92
"A photo of a therioaphis maculata Buckton, a type of insect.",therioaphis maculata Buckton,93
"A photo of a wheat blossom midge, a type of insect.",wheat blossom midge,94
"A photo of a wheat phloeothrips, a type of insect.",wheat phloeothrips,95
"A photo of a wheat sawfly, a type of insect.",wheat sawfly,96
"A photo of a white backed plant hopper, a type of insect.",white backed plant hopper,97
"A photo of a white margined moth, a type of insect.",white margined moth,98
"A photo of a wireworm, a type of insect.",wireworm,99
"A photo of a yellow cutworm, a type of insect.",yellow cutworm,100
"A photo of a yellow rice borer, a type of insect.",yellow rice borer,101
