prompt,classname,classidx
"banded texture.",banded,0 
"blotchy texture.",blotchy,1 
"braided texture.",braided,2 
"bubbly texture.",bubbly,3 
"bumpy texture.",bumpy,4 
"chequered texture.",chequered,5 
"cobwebbed texture.",cobwebbed,6 
"cracked texture.",cracked,7 
"crosshatched texture.",crosshatched,8 
"crystalline texture.",crystalline,9 
"dotted texture.",dotted,10 
"fibrous texture.",fibrous,11
"flecked texture.",flecked,12 
"freckled texture.",freckled,13 
"frilly texture.",frilly,14 
"gauzy texture.",gauzy,15 
"grid texture.",grid,16 
"grooved texture.",grooved,17 
"honeycombed texture.",honeycombed,18 
"interlaced texture.",interlaced,19 
"knitted texture.",knitted,20 
"lacelike texture.",lacelike,21 
"lined texture.",lined,22 
"marbled texture.",marbled,23 
"matted texture.",matted,24
"meshed texture.",meshed,25 
"paisley texture.",paisley,26 
"perforated texture.",perforated,27
"pitted texture.",pitted,28 
"pleated texture.",pleated,29 
"polka-dotted texture.",polka-dotted,30 
"porous texture.",porous,31 
"potholed texture.",potholed,32 
"scaly texture.",scaly,33 
"smeared texture.",smeared,34 
"spiralled texture.",spiralled,35 
"sprinkled texture.",sprinkled,36 
"stained texture.",stained,37
"stratified texture.",stratified,38 
"striped texture.",striped,39 
"studded texture.",studded,40 
"swirly texture.",swirly,41
"veined texture.",veined,42
"waffled texture.",waffled,43
"woven texture.",woven,44
"wrinkled texture.",wrinkled,45
"zigzagged texture.",zigzagged,46
