prompt,classname,classidx
A photo of a Armenian Architecture style church.,Armenian Architecture,0
A photo of a Art Nouveau style church.,Art Nouveau,1
A photo of a Baroque style church.,Baroque,2
A photo of a Byzantine Architecture style church.,Byzantine Architecture,3
A photo of a Classical Architecture style church.,Classical Architecture,4
A photo of a Eclectic Architecture style church.,Eclectic Architecture,5
A photo of a Folk Architecture of Belarus style church.,Folk Architecture of Belarus,6
A photo of a Gothic style church.,Gothic,7
A photo of a Modern Architecture style church.,Modern Architecture,8
A photo of a Mudéjar Style style church.,Mudéjar Style,9
A photo of a Pre-Romanesque Art style church.,Pre-Romanesque Art,10
A photo of a Renaissance style church.,Renaissance,11
A photo of a Romanesque style church.,Romanesque,12
A photo of a Vernacular Architecture style church.,Vernacular Architecture,13
