prompt,classname,classidx
A photo of a Baroque Revival Architecture style church.,Baroque Revival Architecture,0
A photo of a Belarusian Gothic style church.,Belarusian Gothic,1
A photo of a Brick Gothic style church.,Brick Gothic,2
A photo of a Czech Baroque style church.,Czech Baroque,3
A photo of a English Baroque style church.,English Baroque,4
A photo of a English Gothic style church.,English Gothic,5
A photo of a Flamboyant style church.,Flamboyant,6
A photo of a Gothic Revival Architecture style church.,Gothic Revival Architecture,7
A photo of a Hollandse Gotiek style church.,Hollandse Gotiek,8
A photo of a Italian Baroque style church.,Italian Baroque,9
A photo of a Italian Gothic style church.,Italian Gothic,10
A photo of a Italian Romanesque Architecture style church.,Italian Romanesque Architecture,11
A photo of a Mannerist Architecture style church.,Mannerist Architecture,12
A photo of a Meridional Gothic style church.,Meridional Gothic,13
A photo of a Norman Architecture style church.,Norman Architecture,14
A photo of a Renaissance Revival Architecture style church.,Renaissance Revival Architecture,15
A photo of a Rococo style church.,Rococo,16
A photo of a Romanesque Architecture of Provence style church.,Romanesque Architecture of Provence,17
A photo of a Romanesque Revival Architecture style church.,Romanesque Revival Architecture,18
